n_cargos,static_v2_cost,static_v2_time_ms,dynamic_v2_cost,dynamic_v2_time_ms
69,11020.144353801255,44.28189999453025,10835.196973298585,39.69839999626856
70,11055.568628996058,44.89070000272477,10816.382258123596,38.02539999742294
71,11329.951084047225,47.377799994137604,10714.824680072938,43.363599994336255
72,11531.414125261876,46.21980000229087,11123.521054346025,40.98830000293674
73,11732.877166476525,44.57839999668067,11364.962467905869,43.15760000463342
74,11781.104991074266,46.104100001684856,11251.076264293573,46.111799994832836
75,11955.648584483572,46.11479999584844,11749.586801111014,45.77430000063032
76,12104.145954600217,47.00480000610696,12246.630979592077,46.750000001338776
77,12259.000172882828,53.430899999511894,11636.166592055042,46.372600001632236
78,12458.257740795056,48.543099997914396,11563.860383627307,49.64759999711532
79,12626.237050541898,49.59410000446951,11596.616646260154,48.08930000581313
80,12671.328432386308,49.409200000809506,12259.816799945835,49.194200000783894
81,12799.221671144285,54.5949000006658,12642.223240625955,52.85310000181198
82,12775.220656611536,50.47580000245944,12398.825429349905,52.813599999353755
83,12967.208913344542,52.51029999635648,12624.235390106067,52.43839999457123
84,13108.318908296329,53.67599999590311,12927.157605657085,54.40920000546612
85,13241.491748242293,53.00730000453768,13160.427497445731,56.25829999917187
86,13407.670538402752,54.833700000017416,13251.641379758352,55.63660000188975
87,13532.68672705082,55.64710000180639,13148.521215248309,56.289900006959215
88,13739.021750733891,55.24229999718955,14028.924329823229,61.99200000264682
89,13784.1131325783,61.300900000787806,13455.995775295694,65.9148000049754
90,13846.732442547722,61.10249999619555,13596.138551167514,62.535400000342634
91,13954.07458976716,57.22700000478653,13309.330487327194,61.7943999968702
92,13982.314182810587,62.256100005470216,13557.701298763275,66.65619999694172
93,14083.919478034011,57.07059999986086,13266.049216376605,62.05710000358522
94,14053.256188128707,58.735999999044,12803.643753698147,65.15019999642391
95,14261.401553537762,59.60729999787873,13062.526864085059,61.332600002060644
96,14438.38515208385,61.095799996110145,13106.408206779048,66.7840999958571
97,14575.0584774304,60.09839999751421,13679.885091612485,64.63990000338526
98,14686.09957764821,60.534599993843585,14197.346342799312,67.39659999584546
99,14918.411372369797,64.73720000212779,14138.057366805222,71.2550000025658
100,15071.503568252409,62.6574999987497,14261.999174928369,69.50320000032661
101,15226.278546336662,66.17719999485416,14060.313725511813,70.418499999505
102,15665.615422479856,65.13239999912912,14368.498850178968,70.95169999956852
103,15753.479095744693,67.03149999520974,15101.092392557608,72.60999999562046
104,15866.93081479922,66.02099999872735,15550.351453437594,74.18329999927664
105,15929.550124768637,68.56620000326075,14937.76159770791,76.91299999714829
106,16244.113727982525,71.35159999597818,14521.315196653293,76.68539999576751
107,16422.60408995404,68.52299999445677,15313.29215305553,77.73920000181533
108,16646.371613509757,69.40269999904558,15536.333033749868,79.00789999985136
109,16741.12251101932,68.86890000168933,15644.828607626749,82.5881999990088
110,16813.509291843722,70.32950000575511,16119.641640140593,83.76129999669502
111,16874.07784223368,73.98890000331448,15133.577666268682,79.29359999980079
112,16955.811988441004,74.53410000016447,15590.217180779851,80.6049000020721
113,17071.041006110572,73.82579999830341,15465.606033520697,87.85759999591392
114,17190.400128762958,72.86970000131987,15305.387682436442,83.45900000131223
115,17302.579131183513,73.50360000418732,15767.247798209977,85.9647999968729
116,17706.701991373637,73.89230000262614,16103.826849553281,85.42759999545524
117,17891.446245706597,73.66969999566209,16264.218777324735,95.39650000078836
118,18010.805368358986,76.61699999880511,16593.406925314837,90.5815999940387
119,18122.147853219438,76.2006000004476,16397.69313642332,92.06039999844506
120,18259.302882257973,80.05430000048364,16410.668649196155,92.58409999893047
121,18434.782776897006,76.88430000416702,16542.834902990046,96.03860000061104
122,18560.816548460218,78.67899999837391,16543.84839810533,95.58500000275671
123,18800.11102140031,79.83270000113407,17114.73835372624,98.05129999585915
124,18872.66498956307,82.59000000543892,17755.02523163182,100.80730000481708
125,18917.96689211029,83.87339999899268,17398.373525089075,108.07180000119843
126,18921.7953581437,79.27629999903729,17737.82680019748,106.43189999973401
127,18984.414668113117,81.67549999780022,17464.698055387293,109.57619999680901
128,19212.56882646669,81.93929999833927,17557.63643043874,107.98419999628095
129,19335.556521942548,89.12080000300193,17788.0705056268,108.77139999502106
130,19290.66868132088,85.54920000460697,18382.400856989745,108.71310000220546
131,19378.532354585717,84.5400000034715,17995.318846339902,113.5740999961854
132,19537.975164558207,82.56229999824427,18330.58640178604,113.8169999976526
133,19712.16926075065,82.73929999995744,18608.375061554194,114.00629999843659
134,19940.32341910422,83.5882000028505,18897.510566334804,117.28169999696547
135,20051.364519322033,94.19100000377512,19038.14309111031,116.8011000045226
136,20229.854881293544,87.42820000043139,18760.566054600193,119.7729999985313
137,20278.468390299142,88.9552000007825,18829.607265267838,122.49739999970188
138,20435.52005751667,87.80249999836087,19289.737008610216,120.09479999687755
139,20517.116399841125,86.90410000417614,19265.692428237984,120.95449999469565
140,20608.56687912776,87.68829999462469,19391.731076205426,124.42140000348445
141,20671.23970640557,88.27800000290154,19349.313079302134,123.3944000050542
142,20822.2019177945,93.81360000406858,19704.240843108837,123.8599000062095
143,20907.75253355722,90.76330000243615,19382.25267959464,126.31880000117235
