n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
21,4853.22726589416,4018.439538674841,5342.67118415899,2.4222000065492466,2.0132000208832324,2.7750000008381903,5,3702.8066501631083,3598.421516289958,3965.9768658733174,7.830550006474368,7.26129999384284,11.3032000081148,5
22,5236.527490831684,4718.259150787262,6105.676328776957,2.661549995536916,2.2267000167630613,3.8911000010557473,5,3871.3034867808324,3768.8252975046225,4136.380647087982,8.389700000407174,8.204499987186864,8.802700001979247,5
23,5285.64945515451,4685.948124840585,6256.046727388968,2.612650001537986,2.307099988684058,3.8382999773602933,5,4156.862446737929,4122.993944787094,4255.781266356862,8.560149988625199,8.261999988462776,10.822599986568093,5
24,5618.488220508979,5015.923643066786,6164.832829075582,2.471749990945682,1.9740000134333968,3.4768999903462827,5,4297.198119855038,4088.9291525110093,4530.618669721825,9.495899998000823,9.109599981456995,11.16989998263307,5
25,5672.180379684513,5088.667275564816,6580.133319195133,2.7233499858994037,2.1880000131204724,4.008200019598007,5,4351.382255353727,4287.946076072178,4443.200949189773,8.663100001285784,8.158999989973381,14.570699975593016,5
26,5766.001412590439,5132.534593666178,6359.602156948776,2.970150002511218,2.2142000088933855,3.808500012382865,6,5084.128490763812,4705.663482905449,5321.108288408572,10.202599994954653,9.557199984556064,13.68119998369366,6
27,5904.789082096852,5475.96007100014,6225.755031633739,3.023350000148639,2.626999979838729,6.635700003243983,6,4680.733166109809,4553.281619749729,4795.404618741406,10.107750000315718,9.779399988474324,14.262699987739325,6
28,5901.117688439308,5434.311317845933,6575.88243085955,2.9295000131241977,2.6532000047154725,3.880200005369261,6,4439.5784355957085,4396.0500986130055,4517.545041248724,9.990899998228997,9.352799999760464,10.471799992956221,6
29,6237.101060756089,5590.210749615638,7133.883567566955,2.843650014256127,2.6033000031020492,5.707800009986386,6,4979.367605591253,4936.787255350658,5056.386224502161,10.344349997467361,10.063599998829886,10.905900009674951,6
30,6426.6504115799635,5959.589678963937,7452.519989288432,3.188450005836785,2.679800003534183,3.943899995647371,6,5232.50808822157,5028.903975478077,5437.238139570034,11.188050004420802,10.535899986280128,14.775499992538244,6
31,6571.656757541715,5972.39682365504,7247.096950679976,3.2826000096974894,2.864700014470145,5.264899984467775,7,5809.032070980193,5809.032070980193,5809.032070980193,11.60610000079032,11.005100008333102,15.532999997958541,7
32,7023.854715560474,6559.879801803155,7719.142964669275,3.394100014702417,2.8202999965287745,4.780999996000901,7,5838.879946427691,5667.823156522194,5953.243420813268,13.730949984164909,13.224299997091293,14.726900000823662,7
33,6837.361188787803,6530.224067623798,7427.788465090711,3.4465999924577773,2.9017000051680952,5.697199987480417,7,5484.757795642369,5321.2611974187985,5713.75765451503,14.337050015456043,13.368300016736612,17.83270001760684,7
34,6944.0115530065095,6402.235220190029,8271.986791727402,3.3701499924063683,2.889299998059869,4.963199986377731,7,5332.341265615456,5188.050957679428,5594.287338576338,13.681199998245575,13.129600003594533,15.850700001465157,7
35,7409.637554547877,6737.621682842071,8673.899209880925,3.618799994001165,2.8427999932318926,4.040899977553636,7,5826.04847245334,5636.956575868387,6070.256148731919,14.125850007985719,13.326300017070025,14.465899992501363,7
36,7489.3059194248735,7024.891237958392,8006.771205137758,3.493299998808652,3.0150999955367297,4.278100008377805,8,5950.062790155638,5686.511553456505,6127.333157673893,14.126649999525398,13.78350000595674,15.943100006552413,8
37,7774.400789112346,7218.910568057147,8317.442644458057,4.413649992784485,3.3753000025171787,5.584800004726276,8,6373.13275124655,6154.590878071922,6495.591473294984,17.158050002763048,15.86050001787953,20.0741000007838,8
38,7742.3663765003275,7283.57617402432,8265.935745015064,4.004549991805106,3.2550999894738197,5.066499987151474,8,6615.524906100715,6481.179776851612,6752.3329131657,16.850649990374222,16.57750000595115,19.73329999600537,8
39,7947.0115480514205,7140.315717938041,8788.574279510052,4.301549997762777,3.0464000010397285,6.438100012019277,8,6722.663316238962,6511.019218567685,6795.725681570356,16.598900008830242,16.309800004819408,19.829199998639524,8
40,7851.330991005672,7129.175074191473,8620.971579580928,3.7272500048857182,3.2722000032663345,4.518800007645041,8,6445.604871830245,6182.584694623779,6701.812476646716,16.818200005218387,16.419999999925494,21.45349999773316,8
41,8182.496641126983,7641.229485573356,8629.38896762185,4.006549992482178,3.5512000031303614,6.821699993452057,9,6734.971017989492,6515.460787413138,7020.7163806590725,17.743450007401407,17.033699987223372,21.63569998810999,9
42,8257.820811492706,7839.2260459204845,8743.185615972174,4.0394000097876415,3.4512999991420656,6.929600000148639,9,7444.683364639808,7152.484872453799,7921.875324905887,19.5994499954395,18.295299989404157,23.365600005490705,9
43,8477.617982351498,7861.69940920062,9040.944781680533,4.641050007194281,3.667300014058128,7.898299983935431,9,7216.796020994572,6754.022290362966,7937.8063282380745,19.424099999014288,18.439500010572374,23.19460001308471,9
44,8687.169161065485,7723.320902910858,9098.794766794083,4.066749999765307,3.624500008299947,5.186399997910485,9,7597.986402420246,7472.732030056173,7758.897905166587,19.77324999461416,19.153700006427243,22.80360000440851,9
45,8672.581004272453,7724.394514419339,9436.628244428724,4.228899997542612,3.854799986584112,4.335600009653717,9,7694.873348792015,7517.881729656866,7795.314182899663,20.417449981323443,19.394499977352098,22.28020000620745,9
46,8865.518696356776,8525.150319120094,9410.92816201855,4.345450011896901,3.762100008316338,8.666999987326562,10,7576.638653578616,7576.638653578616,7576.638653578616,20.503699997789226,20.032200001878664,27.998500008834526,10
47,9064.507122947833,8198.62300068154,9764.753071025334,4.599849999067374,3.9630999963264912,7.249799993587658,10,7730.2256806855785,7413.331843371745,7857.192004611812,24.756049999268726,22.387999983038753,28.903900005389005,10
48,9254.198823126346,8402.957027055989,9853.439535887972,4.6590000129072,4.115400020964444,5.5198000045493245,10,8117.909704889964,7937.170552975116,8343.259265224095,24.629300023661926,23.38100000633858,25.47339999000542,10
49,9245.787995575094,8713.38099305462,9712.510304312067,5.1489500037860125,4.414299997733906,10.003200004575774,10,8088.897541280617,8014.973753820554,8212.541169908958,24.17325001442805,22.995300008915365,31.926700001349673,10
50,9392.734188372304,8766.243336812408,9959.066221716483,5.017050003516488,4.197100002784282,8.376400015549734,10,8250.627604923004,8029.708686136579,8617.061243741788,25.445949999266304,24.38580000307411,27.38439998938702,10
51,9408.719917597558,9109.718778745331,9693.354262071083,4.78195000323467,4.031899996334687,5.454800004372373,11,8146.800209530799,7926.570712279999,8354.49475426457,25.43120000336785,24.067599995760247,31.96580000803806,11
52,9798.224639772967,9304.17055960169,10448.71543746641,4.668649999075569,4.271700017852709,5.940000002738088,11,8691.877934892598,8471.648437641797,8899.572479626368,26.604550002957694,25.33539998694323,30.384300014702603,11
53,9784.348280929393,9134.746921812515,10368.40117157189,5.058499998995103,4.302799992728978,5.981500027701259,11,8560.12293049069,8442.479851390803,8739.428180725256,26.669350001611747,25.841799972113222,28.29990000464022,11
54,10020.470577362816,9224.347406542736,10462.478149045064,4.909900002530776,4.574899998260662,6.167100014863536,11,8973.408565952413,8814.716979463961,9142.673937689684,26.939699993818067,26.241100014885888,30.22020001662895,11
55,10022.865856466722,9574.638965454425,10595.640447333357,4.970350011717528,4.426800005603582,5.818900011945516,11,8937.05529992161,8666.029655295955,9203.839049955095,28.002450009807944,27.53690001554787,30.16829999978654,11
56,10284.185429732595,9560.497468393503,10869.283534182141,5.517600002349354,4.648000001907349,6.72789997770451,12,8989.787084425172,8813.496554558093,9256.78870896941,29.54045000660699,27.460399986011907,31.973600009223446,12
