n_cargos,static_cost,static_time_ms,dynamic_cost,dynamic_time_ms
79,15673.141955084086,37.58749999906286,11550.655317051447,40.86109999843757
81,16044.05018155922,38.37609999754932,11800.43891231411,44.480699998530326
83,16374.577396877829,40.23299999971641,11787.928862430106,43.40790000060224
85,16685.404167952987,41.75340000074357,12276.079676042002,46.416799999860814
87,17021.9960683783,43.094299999211216,12170.8616535578,47.592099999747006
89,17388.806645633984,44.171100002131425,12505.8247043111,48.77180000039516
91,17766.76046159832,45.60489999857964,12687.854659745906,49.583400003029965
93,17993.502090362083,42.9597999973339,13417.134748900095,52.55980000220006
95,18235.004027109408,47.58900000160793,13130.91478741011,51.75700000108918
97,18580.244180710393,48.63560000012512,14057.595267061604,55.75630000021192
99,19194.946185304932,49.150400001963135,13822.106921099587,59.41929999971762
101,19703.36802477865,46.69600000124774,14456.92176927385,62.43430000176886
103,19901.30057473899,51.284699999087024,14547.123213764255,62.481699998897966
105,20362.588963935515,53.96169999949052,14611.00393729298,60.33639999805018
107,20670.41044654892,51.19570000169915,15302.00109364398,68.25369999933173
109,20981.878640672247,52.40359999879729,14774.21091263953,68.40529999681166
111,21362.080581633945,55.32459999813,15450.804516857295,68.47940000079689
113,21491.88372033149,61.779999999998836,15465.472487296613,72.15190000351868
115,21728.523185753405,55.04719999953522,15831.47019030298,73.11000000117929
117,22185.41433421554,62.179799999285024,15868.311808888498,76.91419999900972
119,22510.715997412262,60.23730000015348,16390.858982500602,74.8014000018884
121,22899.821838066015,58.96039999788627,16276.40771817421,80.18210000227555
123,23459.381238638667,58.409700002812315,16821.744598346755,84.30030000090483
125,23719.38169346117,59.994999999616994,16873.80000228963,88.86119999806397
127,24014.163233737825,62.9043000008096,17075.580802266228,86.09509999951115
129,24475.403778524385,75.56769999791868,17880.217389837515,87.36479999788571
131,24740.46167438414,62.22820000039064,18002.849409643582,84.8111000013887
133,25085.885704195553,63.23370000245632,18497.267015730627,88.2354999994277
135,25647.93870143093,64.09999999959837,18352.712896384524,89.64719999858062
137,25995.888375085415,62.631799999508075,18361.7251476973,92.04399999725865
139,26458.692881606086,65.3877000004286,19039.665245425,94.83730000283686
141,26799.076464674126,68.53559999944991,19076.11299811459,96.41280000141705
143,27242.653880813567,67.80970000181696,19060.09928538156,96.70740000001388
145,27729.274430220114,68.10589999804506,19743.368169937836,101.63769999780925
147,27997.926185774428,71.78120000025956,19594.394701095003,104.95869999795104
149,28358.215962665865,74.46889999846462,20027.678481737465,106.83300000164309
151,28489.12670838983,72.49589999992168,20233.542674777567,108.7243000001763
153,28624.416583943195,69.631099999242,20396.845952359956,112.40039999756846
155,28843.38416779832,70.65610000063316,20662.488339181964,113.0711000005249
157,29200.689251312273,80.35720000043511,20970.083448451678,121.42749999838998
159,29673.301590644838,75.5328000013833,21466.93539916712,120.53110000124434
161,30554.225271612126,78.2863999993424,21573.244272359065,117.44840000028489
163,30765.74745920102,74.05829999697744,21929.69084629564,123.11440000121365
165,31249.03442182383,81.95029999842518,22179.64299978268,129.63740000122925
167,31511.98368772218,83.02079999702983,21988.224296344146,134.6560000019963
169,32089.95101730685,84.56870000009076,22569.712979042197,128.30870000107097
171,32368.296084523914,80.53140000265557,22076.098662856428,131.53650000094785
173,32808.55975102553,86.59180000177003,22579.75939871443,137.81249999738066
175,33239.760740960926,88.43060000072,22722.195892152078,143.40100000117673
177,33554.87689145906,86.12250000078348,22445.909466769772,137.54839999819524
179,33880.122173713295,85.0267999994685,22741.764069493984,140.7937000003585
181,34088.39519532448,84.22950000021956,23147.618892766055,146.93179999812855
183,34477.97708490919,85.73729999989155,23183.11600725521,149.81650000117952
185,34789.64373755325,89.75229999850853,23345.65894163506,147.638200000074
187,35209.59084239699,93.76300000076299,23293.18353756277,153.5879000002751
